,drug_concept_id,ATC_1_id,ATC_1_name,ATC_2_id,ATC_2_name,ATC_3_id,ATC_3_name,ATC_4_id,ATC_4_name,ATC_5_id,ATC_5_name
18,1378382,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21601445,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,21603722,Taxanes,21603723,paclitaxel
19,1351557,21601237,CARDIOVASCULAR SYSTEM,21601782,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,21601822,"ANGIOTENSIN II ANTAGONISTS, PLAIN",21601823,"Angiotensin II antagonists, plain",21601829,candesartan
20,734354,21604180,NERVOUS SYSTEM,21604389,ANTIEPILEPTICS,21604390,ANTIEPILEPTICS,21604428,Other antiepileptics,21604438,pregabalin
21,1503297,21600001,ALIMENTARY TRACT AND METABOLISM,21600712,DRUGS USED IN DIABETES,21600744,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",21600745,Biguanides,21600747,metformin
22,1338005,21601237,CARDIOVASCULAR SYSTEM,21601664,BETA BLOCKING AGENTS,21601665,BETA BLOCKING AGENTS,21601682,"Beta blocking agents, selective",21601689,bisoprolol
23,19111620,21600959,BLOOD AND BLOOD FORMING ORGANS,21601077,ANTIANEMIC PREPARATIONS,21601119,VITAMIN B12 AND FOLIC ACID,21601128,Folic acid and derivatives,21601129,folic acid
24,1129625,21605007,RESPIRATORY SYSTEM,21602002,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",21603445,ANTIHISTAMINES FOR SYSTEMIC USE,21603446,Aminoalkyl ethers,21602016,diphenhydramine
25,1137529,21605007,RESPIRATORY SYSTEM,21603248,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,21603249,"ADRENERGICS, INHALANTS",21603255,Selective beta-2-adrenoreceptor agonists,21603266,salmeterol
26,1196677,21605007,RESPIRATORY SYSTEM,21603248,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,21603249,"ADRENERGICS, INHALANTS",21603255,Selective beta-2-adrenoreceptor agonists,21603267,formoterol
27,1154029,21604180,NERVOUS SYSTEM,21604181,ANESTHETICS,21604182,"ANESTHETICS, GENERAL",21604200,Opioid anesthetics,21604272,fentanyl
28,1742253,21603550,SENSORY ORGANS,21602796,ANTIBACTERIALS FOR SYSTEMIC USE,21603006,QUINOLONE ANTIBACTERIALS,21603594,Other antiinfectives,21603019,levofloxacin
29,929887,21600001,ALIMENTARY TRACT AND METABOLISM,21600046,DRUGS FOR ACID RELATED DISORDERS,21600080,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),21600095,Proton pump inhibitors,21600098,lansoprazole
30,1334456,21601237,CARDIOVASCULAR SYSTEM,21601782,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,21601783,"ACE INHIBITORS, PLAIN",21601784,"ACE inhibitors, plain",21601789,ramipril
31,1125315,21604180,NERVOUS SYSTEM,21604253,ANALGESICS,21604303,OTHER ANALGESICS AND ANTIPYRETICS,21604343,Anilides,21604344,paracetamol
32,753626,21604180,NERVOUS SYSTEM,21604181,ANESTHETICS,21604182,"ANESTHETICS, GENERAL",21604208,Other general anesthetics,21604214,propofol
33,961047,21600001,ALIMENTARY TRACT AND METABOLISM,21600046,DRUGS FOR ACID RELATED DISORDERS,21600080,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),21600081,H2-receptor antagonists,21600088,ranitidine bismuth citrate
34,937368,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603890,IMMUNOSUPPRESSANTS,21603891,IMMUNOSUPPRESSANTS,21603907,Tumor necrosis factor alpha (TNF-) inhibitors,21603909,infliximab
35,710062,21604180,NERVOUS SYSTEM,21604685,PSYCHOANALEPTICS,21604686,ANTIDEPRESSANTS,21604687,Non-selective monoamine reuptake inhibitors,21604696,amitriptyline
36,989878,21605007,RESPIRATORY SYSTEM,21603215,THROAT PREPARATIONS,21603216,THROAT PREPARATIONS,21603241,"Anesthetics, local",21602020,lidocaine
37,1177480,21603931,MUSCULO-SKELETAL SYSTEM,21603932,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,21603933,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",21603966,Propionic acid derivatives,21603980,dexibuprofen
38,948078,21600001,ALIMENTARY TRACT AND METABOLISM,21600046,DRUGS FOR ACID RELATED DISORDERS,21600080,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),21600095,Proton pump inhibitors,21600097,pantoprazole
39,1759842,,,,,,,,,,
40,1318011,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21603746,OTHER ANTINEOPLASTIC AGENTS,21603747,Platinum compounds,21603750,oxaliplatin
41,1112921,21605007,RESPIRATORY SYSTEM,21603248,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,21605009,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,21603292,Anticholinergics,21603199,ipratropium bromide
42,19018544,,,,,,,,,,
43,1154343,21605007,RESPIRATORY SYSTEM,21603248,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,21603249,"ADRENERGICS, INHALANTS",21603255,Selective beta-2-adrenoreceptor agonists,21603256,salbutamol
44,19003206,21605212,VARIOUS,21605372,CONTRAST MEDIA,21605373,"X-RAY CONTRAST MEDIA, IODINATED",21605385,"Watersoluble, nephrotropic, low osmolar X-ray contrast media",21605390,iopromide
45,1341927,21601237,CARDIOVASCULAR SYSTEM,21601782,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,21601783,"ACE INHIBITORS, PLAIN",21601784,"ACE inhibitors, plain",21601786,enalapril
46,45892906,,,,,,,,,,
47,1149380,21605007,RESPIRATORY SYSTEM,21602098,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",21605009,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,21603283,Glucocorticoids,21602136,fluticasone
48,791967,21604180,NERVOUS SYSTEM,21604489,PSYCHOLEPTICS,21604564,ANXIOLYTICS,21604565,Benzodiazepine derivatives,21604571,lorazepam
49,1307046,21601237,CARDIOVASCULAR SYSTEM,21601664,BETA BLOCKING AGENTS,21601665,BETA BLOCKING AGENTS,21601682,"Beta blocking agents, selective",21601684,metoprolol
50,1000560,21600001,ALIMENTARY TRACT AND METABOLISM,21600490,ANTIEMETICS AND ANTINAUSEANTS,21600491,ANTIEMETICS AND ANTINAUSEANTS,21600492,Serotonin (5HT3) antagonists,21600493,ondansetron
51,1518254,21602681,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",21603551,OPHTHALMOLOGICALS,21602723,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",21603651,Corticosteroids and antiinfectives in combination,21602730,dexamethasone
52,1545958,21601237,CARDIOVASCULAR SYSTEM,21601853,LIPID MODIFYING AGENTS,21601854,"LIPID MODIFYING AGENTS, PLAIN",21601855,HMG CoA reductase inhibitors,21601860,atorvastatin
53,781039,21604180,NERVOUS SYSTEM,21604489,PSYCHOLEPTICS,21604564,ANXIOLYTICS,21604565,Benzodiazepine derivatives,21604577,alprazolam
54,1322184,21600959,BLOOD AND BLOOD FORMING ORGANS,21600960,ANTITHROMBOTIC AGENTS,21600961,ANTITHROMBOTIC AGENTS,21600985,Platelet aggregation inhibitors excl. heparin,21600989,clopidogrel
55,1734104,21602795,ANTIINFECTIVES FOR SYSTEMIC USE,21602796,ANTIBACTERIALS FOR SYSTEMIC USE,21602968,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",21602969,Macrolides,21602978,azithromycin
56,975125,21602681,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",21600600,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",21600003,STOMATOLOGICAL PREPARATIONS,21600652,Corticosteroids acting locally,21600036,hydrocortisone
57,1119119,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603890,IMMUNOSUPPRESSANTS,21603891,IMMUNOSUPPRESSANTS,21603907,Tumor necrosis factor alpha (TNF-) inhibitors,21603911,adalimumab
58,1305058,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603890,IMMUNOSUPPRESSANTS,21601421,ANTIMETABOLITES,21603926,Other immunosuppressants,21601423,methotrexate
59,1308842,21601237,CARDIOVASCULAR SYSTEM,21601782,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,21601822,"ANGIOTENSIN II ANTAGONISTS, PLAIN",21601823,"Angiotensin II antagonists, plain",21601826,valsartan
60,797617,21604180,NERVOUS SYSTEM,21604685,PSYCHOANALEPTICS,21604686,ANTIDEPRESSANTS,21604709,Selective serotonin reuptake inhibitors,21604712,citalopram
61,705103,21604180,NERVOUS SYSTEM,21604389,ANTIEPILEPTICS,21604390,ANTIEPILEPTICS,21604428,Other antiepileptics,21604431,lamotrigine
62,1332418,21601237,CARDIOVASCULAR SYSTEM,21601744,CALCIUM CHANNEL BLOCKERS,21601745,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,21601746,Dihydropyridine derivatives,21601747,amlodipine
63,798874,21604180,NERVOUS SYSTEM,21604389,ANTIEPILEPTICS,21604390,ANTIEPILEPTICS,21604414,Benzodiazepine derivatives,21604415,clonazepam
64,723013,21604180,NERVOUS SYSTEM,21604489,PSYCHOLEPTICS,21604564,ANXIOLYTICS,21604565,Benzodiazepine derivatives,21604566,diazepam
65,19069131,21605212,VARIOUS,21605372,CONTRAST MEDIA,21605373,"X-RAY CONTRAST MEDIA, IODINATED",21605385,"Watersoluble, nephrotropic, low osmolar X-ray contrast media",21605392,ioversol
66,1777806,21602795,ANTIINFECTIVES FOR SYSTEMIC USE,21602796,ANTIBACTERIALS FOR SYSTEMIC USE,21602868,OTHER BETA-LACTAM ANTIBACTERIALS,21602894,Third-generation cephalosporins,21602898,ceftriaxone
67,1314273,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21603746,OTHER ANTINEOPLASTIC AGENTS,21603754,Monoclonal antibodies,21603756,rituximab
68,1154161,21605007,RESPIRATORY SYSTEM,21603248,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,21603327,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,21603353,Leukotriene receptor antagonists,21603356,montelukast
69,956874,21601237,CARDIOVASCULAR SYSTEM,21601461,DIURETICS,21601516,HIGH-CEILING DIURETICS,21601517,"Sulfonamides, plain",21601518,furosemide
70,19135832,,,,,,,,,,
71,1557272,21603931,MUSCULO-SKELETAL SYSTEM,21604146,DRUGS FOR TREATMENT OF BONE DISEASES,21604147,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,21604148,Bisphosphonates,21604152,alendronic acid
72,1314002,21601237,CARDIOVASCULAR SYSTEM,21601664,BETA BLOCKING AGENTS,21601665,BETA BLOCKING AGENTS,21601682,"Beta blocking agents, selective",21601685,atenolol
73,1344905,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21603746,OTHER ANTINEOPLASTIC AGENTS,21603747,Platinum compounds,21603749,carboplatin
74,1310149,21600959,BLOOD AND BLOOD FORMING ORGANS,21600960,ANTITHROMBOTIC AGENTS,21600961,ANTITHROMBOTIC AGENTS,21600962,Vitamin K antagonists,21600965,warfarin
75,744740,21604180,NERVOUS SYSTEM,21604489,PSYCHOLEPTICS,21604606,HYPNOTICS AND SEDATIVES,21604653,Benzodiazepine related drugs,21604655,zolpidem
76,904453,21600001,ALIMENTARY TRACT AND METABOLISM,21600046,DRUGS FOR ACID RELATED DISORDERS,21600080,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),21600095,Proton pump inhibitors,21600100,esomeprazole
77,1115008,21603931,MUSCULO-SKELETAL SYSTEM,21603932,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,21603933,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",21603966,Propionic acid derivatives,21603968,naproxen
78,1387104,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21603746,OTHER ANTINEOPLASTIC AGENTS,21603754,Monoclonal antibodies,21603757,trastuzumab
79,1510813,21601237,CARDIOVASCULAR SYSTEM,21601853,LIPID MODIFYING AGENTS,21601854,"LIPID MODIFYING AGENTS, PLAIN",21601855,HMG CoA reductase inhibitors,21601862,rosuvastatin
80,1397141,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21603746,OTHER ANTINEOPLASTIC AGENTS,21603754,Monoclonal antibodies,21603761,bevacizumab
81,994341,21605007,RESPIRATORY SYSTEM,21603444,ANTIHISTAMINES FOR SYSTEMIC USE,21603445,ANTIHISTAMINES FOR SYSTEMIC USE,21603491,Piperazine derivatives,21603495,meclozine
82,19010482,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603890,IMMUNOSUPPRESSANTS,21603891,IMMUNOSUPPRESSANTS,21603923,Calcineurin inhibitors,21603924,ciclosporin
83,1174888,21605007,RESPIRATORY SYSTEM,21603365,COUGH AND COLD PREPARATIONS,21603395,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",21603396,Opium alkaloids and derivatives,21603398,hydrocodone
84,986417,21600001,ALIMENTARY TRACT AND METABOLISM,21600531,DRUGS FOR CONSTIPATION,21600532,DRUGS FOR CONSTIPATION,21600565,Osmotically acting laxatives,21600575,macrogol
85,713196,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603848,IMMUNOSTIMULANTS,21603849,IMMUNOSTIMULANTS,21603857,Interferons,21603865,interferon beta-1b
86,1153428,21605007,RESPIRATORY SYSTEM,21603444,ANTIHISTAMINES FOR SYSTEMIC USE,21603445,ANTIHISTAMINES FOR SYSTEMIC USE,21603503,Other antihistamines for systemic use,21603525,fexofenadine
87,40226742,21601237,CARDIOVASCULAR SYSTEM,21601782,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,21601822,"ANGIOTENSIN II ANTAGONISTS, PLAIN",21601823,"Angiotensin II antagonists, plain",21601831,olmesartan medoxomil
88,1746940,21602795,ANTIINFECTIVES FOR SYSTEMIC USE,21602796,ANTIBACTERIALS FOR SYSTEMIC USE,21602968,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",21602969,Macrolides,21602970,erythromycin
89,19071160,,,,,,,,,,
90,1189697,21604180,NERVOUS SYSTEM,21604253,ANALGESICS,21604364,ANTIMIGRAINE PREPARATIONS,21604375,Selective serotonin (5HT1) agonists,21604381,eletriptan
91,19137312,21600001,ALIMENTARY TRACT AND METABOLISM,21600800,VITAMINS,21600823,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12",21600824,"Vitamin B1, plain",21600825,thiamine (vit B1)
92,1551803,21601237,CARDIOVASCULAR SYSTEM,21601853,LIPID MODIFYING AGENTS,21601854,"LIPID MODIFYING AGENTS, PLAIN",21601864,Fibrates,40256457,choline fenofibrate
93,40228152,21600959,BLOOD AND BLOOD FORMING ORGANS,21600960,ANTITHROMBOTIC AGENTS,21600961,ANTITHROMBOTIC AGENTS,21601019,Direct thrombin inhibitors,21601026,dabigatran etexilate
94,1150871,21600001,ALIMENTARY TRACT AND METABOLISM,21600046,DRUGS FOR ACID RELATED DISORDERS,21600080,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),21600092,Prostaglandins,21600093,misoprostol
95,42709324,,,,,,,,,,
96,19026972,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603890,IMMUNOSUPPRESSANTS,21603891,IMMUNOSUPPRESSANTS,21603926,Other immunosuppressants,21603930,lenalidomide
97,1310317,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21601388,ALKYLATING AGENTS,21601389,Nitrogen mustard analogues,21601390,cyclophosphamide
98,1201620,21605007,RESPIRATORY SYSTEM,21603365,COUGH AND COLD PREPARATIONS,21603395,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",21603396,Opium alkaloids and derivatives,21603399,codeine
99,1316262,21602359,GENITO URINARY SYSTEM AND SEX HORMONES,21602627,UROLOGICALS,21602628,UROLOGICALS,21602645,Drugs used in erectile dysfunction,21602648,sildenafil
100,19106973,,,,,,,,,,
101,1386957,21601237,CARDIOVASCULAR SYSTEM,21601664,BETA BLOCKING AGENTS,21601665,BETA BLOCKING AGENTS,21601698,Alpha and beta blocking agents,21601699,labetalol
102,19090767,21600001,ALIMENTARY TRACT AND METABOLISM,21600531,DRUGS FOR CONSTIPATION,21600532,DRUGS FOR CONSTIPATION,21600554,Bulk-forming laxatives,21600558,linseed
103,1707687,21600001,ALIMENTARY TRACT AND METABOLISM,21600600,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",21600601,INTESTINAL ANTIINFECTIVES,21600602,Antibiotics,21600611,vancomycin
104,1153013,21605007,RESPIRATORY SYSTEM,21603444,ANTIHISTAMINES FOR SYSTEMIC USE,21603445,ANTIHISTAMINES FOR SYSTEMIC USE,21603479,Phenothiazine derivatives,21603481,promethazine
105,1351541,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603812,ENDOCRINE THERAPY,21603813,HORMONES AND RELATED AGENTS,21603823,Gonadotropin releasing hormone analogues,21603825,leuprorelin
106,1398937,21604180,NERVOUS SYSTEM,21604253,ANALGESICS,21604364,ANTIMIGRAINE PREPARATIONS,21600397,Imidazoline receptor agonists,21600398,clonidine
107,1336926,21602359,GENITO URINARY SYSTEM AND SEX HORMONES,21602627,UROLOGICALS,21602628,UROLOGICALS,21602645,Drugs used in erectile dysfunction,21602653,tadalafil
108,40239330,21602795,ANTIINFECTIVES FOR SYSTEMIC USE,21603126,ANTIVIRALS FOR SYSTEMIC USE,21603127,DIRECT ACTING ANTIVIRALS,1501761,Antivirals for treatment of HCV infections,1501770,telaprevir
109,938268,21600001,ALIMENTARY TRACT AND METABOLISM,21600531,DRUGS FOR CONSTIPATION,21600532,DRUGS FOR CONSTIPATION,21600537,Contact laxatives,21600543,senna glycosides
110,740275,21604180,NERVOUS SYSTEM,21604389,ANTIEPILEPTICS,21604390,ANTIEPILEPTICS,21604416,Carboxamide derivatives,21604417,carbamazepine
111,1367571,21600959,BLOOD AND BLOOD FORMING ORGANS,21600960,ANTITHROMBOTIC AGENTS,21600961,ANTITHROMBOTIC AGENTS,21600972,Heparin group,21600973,heparin
112,1597756,21600001,ALIMENTARY TRACT AND METABOLISM,21600712,DRUGS USED IN DIABETES,21600744,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",21600749,Sulfonylureas,21600761,glimepiride
113,1315946,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603812,ENDOCRINE THERAPY,21603829,HORMONE ANTAGONISTS AND RELATED AGENTS,21603838,Aromatase inhibitors,21603842,letrozole
114,1398399,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603812,ENDOCRINE THERAPY,21603829,HORMONE ANTAGONISTS AND RELATED AGENTS,21603838,Aromatase inhibitors,21603844,exemestane
115,19014878,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603890,IMMUNOSUPPRESSANTS,21603891,IMMUNOSUPPRESSANTS,21603926,Other immunosuppressants,21603927,azathioprine
116,718583,21604180,NERVOUS SYSTEM,21604801,OTHER NERVOUS SYSTEM DRUGS,21604816,DRUGS USED IN ADDICTIVE DISORDERS,21604817,Drugs used in nicotine dependence,21604818,nicotine
117,1363387,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21603746,OTHER ANTINEOPLASTIC AGENTS,21603771,Protein kinase inhibitors,21603776,sorafenib
118,1186087,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603890,IMMUNOSUPPRESSANTS,21603891,IMMUNOSUPPRESSANTS,21603892,Selective immunosuppressants,21603905,abatacept
119,1325608,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603848,IMMUNOSTIMULANTS,21603849,IMMUNOSTIMULANTS,21603850,Colony stimulating factors,21603856,pegfilgrastim
120,1101898,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21603890,IMMUNOSUPPRESSANTS,21603891,IMMUNOSUPPRESSANTS,21603892,Selective immunosuppressants,21603898,leflunomide
121,40002706,21605007,RESPIRATORY SYSTEM,21603365,COUGH AND COLD PREPARATIONS,21603395,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",21603396,Opium alkaloids and derivatives,21603398,hydrocodone
122,1580747,21600001,ALIMENTARY TRACT AND METABOLISM,21600712,DRUGS USED IN DIABETES,21600744,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",21600783,Dipeptidyl peptidase 4 (DPP-4) inhibitors,21600784,sitagliptin
123,1336539,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21603746,OTHER ANTINEOPLASTIC AGENTS,21603771,Protein kinase inhibitors,21603775,sunitinib
124,705944,21604180,NERVOUS SYSTEM,21604685,PSYCHOANALEPTICS,21604752,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",21604753,Centrally acting sympathomimetics,21604757,methylphenidate
125,1559684,21600001,ALIMENTARY TRACT AND METABOLISM,21600712,DRUGS USED IN DIABETES,21600744,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",21600749,Sulfonylureas,21600750,glibenclamide
126,1549080,21602359,GENITO URINARY SYSTEM AND SEX HORMONES,21602471,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,21602514,ESTROGENS,21602515,"Natural and semisynthetic estrogens, plain",21602523,conjugated estrogens
127,984232,21601907,DERMATOLOGICALS,21602281,ANTI-ACNE PREPARATIONS,21602318,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,21602319,Retinoids for treatment of acne,21602320,isotretinoin
128,1517824,21601237,CARDIOVASCULAR SYSTEM,21601853,LIPID MODIFYING AGENTS,21601854,"LIPID MODIFYING AGENTS, PLAIN",21601880,Nicotinic acid and derivatives,21601882,nicotinic acid
129,903963,21605007,RESPIRATORY SYSTEM,21602722,CORTICOSTEROIDS FOR SYSTEMIC USE,21605009,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,21600033,Corticosteroids for local oral treatment,21600034,triamcinolone
